id,name,market,price,max_price,min_price,pe,pbv,paid_up,market_cap,daily_volume,beta,ticker_id,created_at,updated_at
234,3BBIF,SET    ,8.15,11.3,7.15,999.99,0.74,78812.8,65200.0,40.31,0.59,234,2017-07-23 07:24:52.994628,2023-01-31 03:07:33.622174
698,ACE,SET100 / SETTHSI    ,2.56,3.42,2.52,17.72,1.82,5088.0,26050.56,54.63,0.92,698,2019-11-20 04:25:59.683843,2023-01-31 03:07:32.902929
6,ADVANC,SET50 / SETHD / SETTHSI    ,197.5,242.0,181.5,23.03,7.52,2974.21,587406.42,954.23,0.79,6,2017-07-23 07:24:20.932036,2023-01-31 03:07:32.912439
7,AEONTS,SET    ,196.5,209.0,152.0,12.18,2.26,250.0,49125.0,100.95,1.15,7,2017-07-23 07:24:21.066435,2023-01-31 03:07:32.918984
9,AH,sSET / SETTHSI    ,32.5,35.75,19.4,7.48,1.21,354.84,11532.37,70.31,1.51,9,2017-07-23 07:24:21.297212,2023-01-31 03:07:32.925016
720,AIE,sSET    ,2.82,5.1,2.56,21.16,1.83,1326.61,3741.05,7.19,1.17,720,2021-02-21 16:12:26.224639,2023-01-31 03:07:32.930911
669,AIMIRT,SET    ,12.3,13.0,11.7,999.99,1.0,5954.81,7324.41,2.58,0.09,669,2018-06-21 02:41:10.139548,2023-01-31 03:07:32.938331
11,AIT,sSET    ,6.7,8.35,5.4,15.32,2.46,1331.13,8918.54,40.18,1.48,11,2017-07-23 07:24:21.511814,2023-01-31 03:07:32.944176
12,AJ,sSET / SETCLMV / SETTHSI    ,13.0,19.6,11.7,13.6,1.21,440.0,5720.0,8.63,0.95,12,2017-07-23 07:24:21.638902,2023-01-31 03:07:32.950044
21,AMATA,SET100 / SETCLMV / SETTHSI    ,20.0,23.0,17.1,10.02,1.2,1150.0,23000.0,177.04,1.61,21,2017-07-23 07:24:22.672618,2023-01-31 03:07:32.955592
23,ANAN,sSET    ,1.43,1.6,1.11,999.99,0.41,416.63,5957.74,29.54,1.24,23,2017-07-23 07:24:22.911535,2023-01-31 03:07:32.961632
24,AOT,SET50 / SETTHSI    ,75.25,76.5,61.25,999.99,10.61,14285.7,1074998.93,1967.44,0.71,24,2017-07-23 07:24:23.040644,2023-01-31 03:07:32.967232
25,AP,SET100 / SETHD / SETTHSI    ,11.9,12.0,9.0,6.55,1.05,3145.9,37436.2,195.27,0.83,25,2017-07-23 07:24:23.155772,2023-01-31 03:07:32.972785
36,ASIAN,sSET / SETTHSI    ,13.7,19.4,12.9,10.93,2.61,814.09,11153.0,16.12,0.9,36,2017-07-23 07:24:24.591078,2023-01-31 03:07:32.978350
38,ASK,SET    ,32.75,49.5,28.25,11.97,1.75,2639.22,17286.87,50.11,1.75,38,2017-07-23 07:24:24.813799,2023-01-31 03:07:32.983916
40,ASP,sSET    ,3.1,3.98,2.92,13.34,1.39,2105.66,6527.53,7.02,0.69,40,2017-07-23 07:24:25.107334,2023-01-31 03:07:32.990694
728,ASW,sSET / SETTHSI    ,7.95,9.4,7.35,7.51,1.31,856.12,6806.16,8.69,0.47,728,2021-08-22 15:13:48.551164,2023-01-31 03:07:32.996646
699,AWC,SET50 / SETTHSI    ,6.05,6.55,4.56,56.69,2.38,32000.77,193604.66,316.9,1.13,699,2019-11-20 04:26:04.340494,2023-01-31 03:07:33.002243
45,BA,SET    ,14.6,14.8,8.4,999.99,1.82,2100.0,30660.0,64.57,1.28,45,2017-07-23 07:24:25.672405,2023-01-31 03:07:33.007908
709,BAM,SET100 / SETTHSI    ,15.9,22.3,14.5,18.06,1.2,16160.21,51389.47,411.04,1.35,709,2021-01-26 16:02:49.459177,2023-01-31 03:07:33.015143
47,BANPU,SET50 / SETCLMV / SETTHSI    ,12.0,15.0,10.5,2.29,0.91,8454.16,101449.94,1482.62,0.72,47,2017-07-23 07:24:25.883582,2023-01-31 03:07:33.020697
49,BAY,SET    ,32.25,37.75,28.75,7.99,0.71,73557.62,237223.32,22.7,0.63,49,2017-07-23 07:24:26.121801,2023-01-31 03:07:33.026615
50,BBL,SET50 / SETCLMV / SETHD / SETTHSI    ,161.0,163.0,124.5,10.95,0.6,19088.43,307323.71,2107.11,0.86,50,2017-07-23 07:24:26.222243,2023-01-31 03:07:33.032166
51,BCH,SET100 / SETCLMV / SETHD / SETWB    ,21.1,23.1,16.8,10.02,4.32,2493.75,52618.08,195.79,0.33,51,2017-07-23 07:24:26.361750,2023-01-31 03:07:33.038863
52,BCP,SET100 / SETCLMV / SETTHSI    ,36.75,39.0,27.25,3.63,0.8,1376.92,50601.93,511.26,0.66,52,2017-07-23 07:24:26.477626,2023-01-31 03:07:33.044512
53,BCPG,SET100 / SETCLMV / SETHD / SETTHSI    ,9.9,13.4,8.7,11.19,0.97,14538.7,28786.11,56.36,1.18,53,2017-07-23 07:24:26.597527,2023-01-31 03:07:33.050864
729,BCT,SET    ,59.0,68.5,47.5,3.19,0.63,300.0,17700.0,0.41,0.64,729,2021-08-22 15:13:48.558278,2023-01-31 03:07:33.056339
54,BDMS,SET50 / SETCLMV / SETTHSI / SETWB    ,30.0,32.0,22.1,39.31,5.54,1589.2,476760.06,1026.53,0.42,54,2017-07-23 07:24:26.698061,2023-01-31 03:07:33.066798
743,BE8,mai    ,63.25,66.75,29.0,122.44,10.74,120.32,13573.09,149.36,1.33,745,2022-08-05 10:22:48.605460,2023-01-31 03:07:33.079337
55,BEAUTY,sSET    ,1.4,1.6,1.21,999.99,5.84,299.42,4191.87,53.59,1.3,55,2017-07-23 07:24:26.805733,2023-01-31 03:07:33.089430
56,BEC,SET100    ,10.5,17.9,9.15,27.87,3.44,2000.0,21000.0,49.26,1.36,56,2017-07-23 07:24:26.896492,2023-01-31 03:07:33.097471
57,BEM,SET50 / SETTHSI / SETWB    ,9.8,10.1,7.9,67.2,3.97,15285.0,149793.0,720.96,0.69,57,2017-07-23 07:24:26.999034,2023-01-31 03:07:33.108664
677,BGC,sSET / SETCLMV / SETTHSI    ,10.2,10.8,9.55,13.93,1.58,3472.22,7083.33,4.94,0.51,677,2019-03-03 15:20:21.539444,2023-01-31 03:07:33.120140
59,BGRIM,SET50 / SETCLMV / SETTHSI    ,40.25,42.75,29.75,999.99,3.33,5213.8,104927.73,416.87,1.29,59,2017-07-23 07:24:27.249675,2023-01-31 03:07:33.127767
61,BH,SET50 / SETCLMV / SETWB    ,214.0,241.0,140.5,42.53,9.42,794.89,170105.55,643.3,0.5,61,2017-07-23 07:24:27.506069,2023-01-31 03:07:33.134265
65,BJC,SETCLMV / SETTHSI / SETWB    ,38.75,39.25,30.5,32.6,1.32,4007.8,155302.12,235.35,0.84,65,2017-07-23 07:24:28.080766,2023-01-31 03:07:33.141098
68,BKIH,SETTHSI    ,293.0,295.0,263.0,999.99,0.95,1064.7,31195.71,10.63,0.28,68,2017-07-23 07:24:28.473301,2023-01-31 03:07:33.147454
70,BLA,SET100 / SETTHSI    ,29.5,48.0,27.0,15.71,1.21,1707.57,50373.2,123.99,0.71,70,2017-07-23 07:24:28.700670,2023-01-31 03:07:33.154132
71,BLAND,SET    ,1.05,1.1,0.94,17.92,0.41,17374.4,18243.12,19.09,0.63,71,2017-07-23 07:24:28.815016,2023-01-31 03:07:33.159809
74,BPP,SETCLMV / SETTHSI    ,17.5,17.5,13.9,8.48,1.03,30477.32,53335.3,29.91,0.83,74,2017-07-23 07:24:29.294209,2023-01-31 03:07:33.170794
83,BTS,SET50 / SETHD / SETTHSI / SETWB    ,8.55,10.2,7.85,39.14,1.84,52670.55,112583.31,196.53,0.85,83,2017-07-23 07:24:30.421511,2023-01-31 03:07:33.180264
84,BTSGIF,SET    ,3.88,4.36,3.72,999.99,0.58,53533.21,22457.44,25.78,0.43,84,2017-07-23 07:24:30.594311,2023-01-31 03:07:33.194329
87,CBG,SET50 / SETCLMV / SETTHSI / SETWB    ,103.0,116.0,80.25,41.35,10.02,1000.0,103000.0,396.56,1.21,87,2017-07-23 07:24:31.114301,2023-01-31 03:07:33.204127
92,CENTEL,SET50 / SETTHSI    ,52.0,53.0,33.5,1.0,333.56,3.8,1350.0,70200.0,215.08,92,2017-07-23 07:24:31.721637,2023-01-31 03:07:33.212053
98,CHG,SET100 / SETHD / SETWB    ,3.8,4.16,3.08,9.71,5.76,1100.0,41800.0,144.55,0.21,98,2017-07-23 07:24:32.443979,2023-01-31 03:07:33.218132
106,CK,SET100 / SETCLMV    ,22.8,24.8,17.9,34.65,1.54,1693.9,38620.85,155.65,0.79,106,2017-07-23 07:24:33.396161,2023-01-31 03:07:33.223662
107,CKP,SET100 / SETCLMV / SETTHSI    ,4.52,5.9,4.48,14.78,1.44,8129.38,36744.81,54.6,1.04,107,2017-07-23 07:24:33.505549,2023-01-31 03:07:33.234575
114,COM7,SET50 / SETTHSI / SETWB    ,31.0,43.75,26.25,24.36,11.65,600.0,74399.95,521.64,1.49,114,2017-07-23 07:24:34.369448,2023-01-31 03:07:33.245864
116,CPALL,SET50 / SETTHSI / SETWB    ,68.75,73.75,52.75,36.68,6.26,8983.1,617588.22,2021.78,0.98,116,2017-07-23 07:24:34.602486,2023-01-31 03:07:33.260949
283,CPAXT,SET    ,41.75,43.75,32.0,30.85,1.53,5290.16,441728.51,797.09,1.14,283,2017-07-23 07:24:59.055672,2023-01-31 03:07:33.791638
117,CPF,SET50 / SETCLMV / SETHD / SETTHSI / SETWB    ,23.5,27.0,22.7,10.42,0.76,8611.24,202364.2,435.29,0.77,117,2017-07-23 07:24:34.714774,2023-01-31 03:07:33.268281
121,CPN,SET50 / SETTHSI    ,72.0,73.0,52.75,32.95,4.08,2244.0,323136.0,480.18,1.22,121,2017-07-23 07:24:35.181173,2023-01-31 03:07:33.274127
122,CPNCG,SET    ,11.6,12.7,10.4,999.99,1.01,4394.38,4949.01,2.36,0.36,122,2017-07-23 07:24:35.288424,2023-01-31 03:07:33.280036
646,CPNREIT,SET    ,19.5,21.3,17.9,999.99,999.99,30919.64,50076.66,32.82,0.32,647,2017-12-21 13:49:22.470173,2023-01-31 03:07:33.287416
708,CRC,SET50 / SETCLMV / SETTHSI / SETWB    ,43.0,48.0,33.5,41.6,4.06,6031.0,259333.0,558.13,1.26,708,2020-02-21 03:37:48.997822,2023-01-31 03:07:33.304317
135,DCC,SET    ,2.84,3.18,2.58,15.46,4.43,912.56,25916.74,21.95,0.57,135,2017-07-23 07:24:36.765074,2023-01-31 03:07:33.310457
136,DCON,SET    ,0.43,0.58,0.36,17.16,0.92,538.63,2316.13,2.05,1.21,136,2017-07-23 07:24:36.871960,2023-01-31 03:07:33.316864
138,DELTA,SET50 / SETTHSI    ,898.0,990.0,287.0,84.54,21.76,1247.38,1120148.69,3561.94,3.23,138,2017-07-23 07:24:37.094881,2023-01-31 03:07:33.322978
140,DIF,SET    ,13.6,14.5,13.0,999.99,0.82,106316.54,144590.49,99.06,0.29,140,2017-07-23 07:24:37.350968,2023-01-31 03:07:33.328845
701,DOHOME,SET100 / SETWB    ,13.8,23.3,12.2,34.63,3.44,2906.74,40113.02,166.2,1.35,701,2019-11-20 04:26:15.055918,2023-01-31 03:07:33.334549
143,DRT,sSET / SETCLMV / SETTHSI    ,8.35,8.9,6.9,11.89,3.18,855.03,7139.53,1.6,0.59,143,2017-07-23 07:24:37.868511,2023-01-31 03:07:33.341643
148,EA,SET50 / SETTHSI    ,86.5,101.0,76.5,44.12,8.82,373.0,322645.0,952.98,1.28,148,2017-07-23 07:24:38.754891,2023-01-31 03:07:33.356940
151,EASTW,sSET / SETTHSI    ,5.4,9.5,4.9,11.05,0.8,1663.73,8984.12,10.63,0.75,151,2017-07-23 07:24:39.214466,2023-01-31 03:07:33.362580
156,EGATIF,SET    ,7.0,12.0,6.45,999.99,0.76,18686.08,14598.5,4.89,0.31,156,2017-07-23 07:24:40.155748,2023-01-31 03:07:33.374779
157,EGCO,SET50 / SETCLMV / SETHD / SETTHSI    ,175.0,190.0,159.5,23.74,0.71,5264.65,92131.38,165.03,0.52,157,2017-07-23 07:24:40.280615,2023-01-31 03:07:33.385777
162,EPG,SET100 / SETTHSI    ,8.6,10.9,8.35,17.83,2.01,2800.0,24080.0,37.37,1.26,162,2017-07-23 07:24:41.080650,2023-01-31 03:07:33.395265
176,FORTH,SET100    ,41.25,64.0,18.8,47.96,19.99,480.0,39600.0,207.09,1.23,176,2017-07-23 07:24:43.563024,2023-01-31 03:07:33.410777
744,FPT,SET    ,15.3,15.6,13.2,14.4,0.98,2319.28,35484.94,1.28,0.3,746,2022-08-07 08:05:35.953885,2023-01-31 03:07:33.417330
178,FSMART,mai    ,16.3,28.0,10.0,37.4,11.44,390.0,12714.0,147.11,1.44,178,2017-07-23 07:24:43.909919,2023-01-31 03:07:33.423319
183,GC,SET    ,5.75,7.45,5.09,14.57,4.64,220.0,2530.0,0.35,1.08,183,2017-07-23 07:24:44.871750,2023-01-31 03:07:33.429299
187,GFPT,SETTHSI    ,13.5,18.7,11.8,10.28,1.06,1253.82,16926.58,63.77,0.69,187,2017-07-23 07:24:45.610475,2023-01-31 03:07:33.435252
188,GGC,SET    ,14.9,16.3,12.4,17.12,1.48,9724.83,15252.63,1.66,0.73,188,2017-07-23 07:24:45.913164,2023-01-31 03:07:33.440826
193,GLOBAL,SET50 / SETCLMV / SETTHSI / SETWB    ,20.7,23.7,16.8,26.82,4.65,4801.74,99395.95,405.68,1.02,193,2017-07-23 07:24:46.860402,2023-01-31 03:07:33.446450
197,GPSC,SET50 / SETCLMV / SETTHSI    ,69.5,80.0,57.25,78.51,1.83,28197.29,195971.19,533.26,1.25,197,2017-07-23 07:24:47.646070,2023-01-31 03:07:33.451933
198,GRAMMY,SET    ,10.3,12.3,9.9,450.75,6.6,819.95,8445.48,0.11,0.82,198,2017-07-23 07:24:47.830445,2023-01-31 03:07:33.464654
652,GULF,SET50 / SETCLMV / SETTHSI    ,54.0,57.25,45.0,69.97,5.93,11733.15,633590.1,820.1,1.32,653,2017-12-21 13:49:23.318454,2023-01-31 03:07:33.474466
202,GUNKUL,SET100 / SETCLMV / SETHD / SETTHSI    ,5.0,7.2,4.8,13.34,3.04,2220.63,44412.65,204.38,1.52,202,2017-07-23 07:24:48.612669,2023-01-31 03:07:33.482747
653,GVREIT,SET    ,9.55,10.3,8.55,999.99,0.86,8046.15,7781.34,4.2,0.19,654,2017-12-21 13:49:23.418853,2023-01-31 03:07:33.493967
205,HANA,SET100 / SETHD / SETTHSI    ,58.0,74.5,32.75,48.12,1.96,804.88,46682.97,816.39,2.39,205,2017-07-23 07:24:49.153281,2023-01-31 03:07:33.505219
207,HFT,sSET    ,6.6,8.55,5.95,8.89,1.19,658.43,4345.67,1.57,0.86,207,2017-07-23 07:24:49.463927,2023-01-31 03:07:33.512102
208,HMPRO,SET50 / SETTHSI / SETWB    ,14.6,16.6,12.4,30.29,8.5,13151.2,192007.49,479.14,0.97,208,2017-07-23 07:24:49.596713,2023-01-31 03:07:33.517696
212,HTC,sSET / SETTHSI    ,30.0,35.25,27.0,14.78,1.65,200.96,6028.81,5.54,0.8,212,2017-07-23 07:24:50.130034,2023-01-31 03:07:33.523182
216,ICHI,sSET / SETCLMV / SETTHSI    ,12.1,12.4,7.2,27.06,2.63,1300.0,15730.0,60.25,1.71,216,2017-07-23 07:24:50.597553,2023-01-31 03:07:33.533769
745,III,sSET    ,15.3,16.97,11.31,23.43,4.0,369.35,11302.08,90.23,0.92,637,2022-11-09 12:57:49.029780,2023-01-31 03:07:33.544009
725,ILM,sSET    ,18.9,25.0,15.0,15.23,1.74,2525.0,9544.5,14.27,1.39,725,2021-08-07 15:08:49.110112,2023-01-31 03:07:33.553101
730,IMH,mai    ,14.3,23.3,10.8,8.52,3.49,107.5,3074.5,15.53,0.35,730,2021-08-22 15:13:48.565168,2023-01-31 03:07:33.559988
222,IMPACT,SET    ,13.9,17.3,11.8,999.99,1.27,15714.5,20606.75,10.09,0.51,222,2017-07-23 07:24:51.359471,2023-01-31 03:07:33.566192
674,INOX,SET    ,1.02,1.85,0.95,9.69,0.83,7795.71,7951.62,5.26,1.54,674,2018-08-12 12:54:41.579794,2023-01-31 03:07:33.579057
737,IP,mai    ,14.7,22.9,13.5,43.09,2.89,186.26,5476.05,21.54,0.54,736,2021-10-25 15:09:34.943124,2023-01-31 03:07:33.599746
227,IRPC,SET100 / SETCLMV / SETTHSI    ,3.1,4.02,2.84,12.72,0.73,20434.42,63346.7,277.39,1.06,227,2017-07-23 07:24:52.052563,2023-01-31 03:07:33.607801
231,IVL,SET50 / SETTHSI    ,41.25,52.75,37.0,4.84,1.09,5614.55,231600.27,859.32,1.11,231,2017-07-23 07:24:52.636551,2023-01-31 03:07:33.615704
236,JMART,SET50    ,37.0,64.0,35.25,18.53,3.04,1457.32,53920.82,389.47,2.15,236,2017-07-23 07:24:53.235194,2023-01-31 03:07:33.627663
237,JMT,SET50    ,53.5,88.25,52.75,45.05,3.47,729.58,78064.96,675.65,1.69,237,2017-07-23 07:24:53.358953,2023-01-31 03:07:33.636405
245,KBANK,SET50 / SETCLMV / SETTHSI    ,146.0,175.0,137.5,8.14,0.69,23693.28,345921.83,3135.49,0.97,245,2017-07-23 07:24:54.326842,2023-01-31 03:07:33.648945
249,KCE,SET100    ,50.0,75.5,39.75,23.47,4.59,590.98,59098.28,1201.42,1.81,249,2017-07-23 07:24:54.800606,2023-01-31 03:07:33.655055
252,KGI,sSET    ,5.1,7.0,4.5,8.11,1.37,1991.76,10157.99,10.55,0.98,252,2017-07-23 07:24:55.176716,2023-01-31 03:07:33.666228
255,KKP,SET100 / SETCLMV / SETHD / SETTHSI    ,69.75,76.25,59.5,7.21,1.1,8467.51,59060.89,513.3,0.84,255,2017-07-23 07:24:55.554025,2023-01-31 03:07:33.678641
257,KSL,sSET / SETCLMV    ,3.6,4.16,3.22,12.02,0.76,2205.12,15876.84,12.58,0.9,257,2017-07-23 07:24:55.777366,2023-01-31 03:07:33.687171
258,KTB,SET50 / SETHD / SETTHSI    ,17.8,18.4,12.9,8.15,0.69,71976.72,248773.89,896.43,0.73,258,2017-07-23 07:24:55.952803,2023-01-31 03:07:33.692813
259,KTC,SET50 / SETTHSI    ,57.25,68.0,52.0,22.16,4.97,2578.33,147609.63,407.59,0.99,259,2017-07-23 07:24:56.119753,2023-01-31 03:07:33.704065
262,KYE,SET    ,318.0,377.0,310.0,39.15,0.81,198.0,6296.4,0.19,0.14,262,2017-07-23 07:24:56.521123,2023-01-31 03:07:33.714293
263,LALIN,sSET    ,9.35,11.8,8.35,6.45,1.0,925.0,8648.74,2.46,0.84,263,2017-07-23 07:24:56.628065,2023-01-31 03:07:33.720683
264,LANNA,sSET    ,16.2,24.6,16.1,2.98,1.16,525.0,8504.99,30.91,0.65,264,2017-07-23 07:24:56.752147,2023-01-31 03:07:33.726293
267,LH,SET50 / SETHD    ,9.95,10.1,8.0,14.27,2.4,11949.71,118899.65,299.38,0.79,267,2017-07-23 07:24:57.091818,2023-01-31 03:07:33.733012
268,LHFG,SET    ,1.22,1.69,1.0,30.02,0.72,21183.66,25844.07,14.86,1.1,268,2017-07-23 07:24:57.221982,2023-01-31 03:07:33.738663
270,LHK,SET    ,5.15,6.1,3.78,11.13,1.42,383.0,1972.45,1.7,0.72,270,2017-07-23 07:24:57.501835,2023-01-31 03:07:33.744226
