artist,title,date,type,filename,duration_seconds,duration_minutes
Extreme,More Than Words,2026-11-01,L,More Than Words_Extreme .mp4,255.63,4.2604999999999995
Bob Dylan,Mr. Tambourine Man,2026-11-01,L,Mr. Tambourine Man_Bob Dylan.mp4,332.13,5.5355
Celine Dion,My Heart Will Go On,2026-11-01,L,My Heart Will Go On_Celine Dion.mp4,280.54,4.675666666666667
George Harrison,My Sweet Lord,2026-11-01,L,My Sweet Lord_George Harrison.mp4,432.08,7.201333333333333
Frank Sinatra,My Way,2026-11-01,L,My Way_Frank Sinatra.mp4,256.08,4.268
Antebellum Lady,Need You Now,2026-11-01,L,Need You Now_Antebellum Lady.mp4,271.21,4.520166666666666
INXS,Never Tear Us Apart,2026-11-01,L,Never Tear Us Apart_INXS .mp4,231.07999999999998,3.8513333333333333
Linkin Park,New Divide,2026-11-01,L,New Divide_Linkin Park .mp4,269.0,4.483333333333333
Bee Gees,Night Fever,2026-11-01,L,Night Fever_Bee Gees .mp4,208.82999999999998,3.4804999999999997
Elton John,Nikita,2026-11-01,L,Nikita_Elton John.mp4,292.58,4.876333333333333
Bob Marley and the Wailers,"No Woman, No Cry",2026-11-01,L,"No Woman, No Cry_Bob Marley and the Wailers .mp4",413.38,6.889666666666667
Starship,Nothing's Gonna Stop Us Now,2026-11-01,L,Nothing's Gonna Stop Us Now_Starship .mp4,267.75,4.4625
Guns n’ Roses,November Rain,2026-11-01,L,November Rain_Guns n’ Roses .mp4,556.92,9.282
Linkin Park,Numb,2026-11-01,L,Numb_Linkin Park .mp4,187.25,3.120833333333333
Bobbie Gentry,Ode to Billie Joe,2026-11-01,L,Ode to Billie Joe_Bobbie Gentry.mp4,254.13,4.2355
Eric Clapton,Old Love,2026-11-01,L,Old Love_Eric Clapton.mp4,384.58,6.409666666666666
Jennifer Lopez,On the Floor,2026-11-01,L,On the Floor_Jennifer Lopez.mp4,266.5,4.441666666666666
Dana Winner,One Moment In Time,2026-11-01,L,One Moment In Time_Dana Winner.mp4,309.29,5.154833333333333
Linkin Park,One More Light,2026-11-01,L,One More Light_Linkin Park .mp4,255.21,4.2535
Maroon 5,One More Night,2026-11-01,L,One More Night_Maroon 5 .mp4,223.13,3.7188333333333334
Murray Head,One Night In Bangkok,2026-11-01,L,One Night In Bangkok_Murray Head.mp4,236.82999999999998,3.9471666666666665
U2,One,2026-11-01,L,One_U2 .mp4,280.08,4.668
Roy Orbison,Only the Lonely,2026-11-01,L,Only the Lonely_Roy Orbison.mp4,154.42000000000002,2.573666666666667
Enya,Only Time,2026-11-01,L,Only Time_Enya .mp4,216.71,3.6118333333333337
Taylor Swift,Opalite,2026-11-01,L,Opalite_Taylor Swift.mp4,236.17000000000002,3.936166666666667
"Crosby, Stills, Nash and Young",Our House,2026-11-01,L,"Our House_Crosby, Stills, Nash and Young .mp4",185.88,3.098
Yes,Owner Of A Lonely Heart,2026-11-01,L,Owner Of A Lonely Heart_Yes .mp4,279.0,4.65
Rolling Stones The,Paint it Black,2026-11-01,L,Paint it Black_Rolling Stones The.mp4,226.38,3.773
Black Sabbath,Paranoid,2026-11-01,L,Paranoid_Black Sabbath .mp4,170.17000000000002,2.8361666666666667
Eagles The,Peaceful Easy Feeling,2026-11-01,L,Peaceful Easy Feeling_Eagles The.mp4,257.92,4.298666666666667
Beatles The,Penny Lane,2026-11-01,L,Penny Lane_Beatles The.mp4,186.88,3.1146666666666665
Impressions The,People Get Ready,2026-11-01,L,People Get Ready_Impressions The.mp4,158.63,2.6438333333333333
Rod Stewart,People Get Ready,2026-11-01,L,People Get Ready_Rod Stewart.mp4,280.5,4.675
Ed Sheeran,Perfect,2026-11-01,L,Perfect_Ed Sheeran.mp4,260.5,4.341666666666667
Bryan Adams,Please Forgive Me,2026-11-01,L,Please Forgive Me_Bryan Adams.mp4,330.5,5.508333333333334
Cliff Richard,Poor Boy,2026-11-01,L,Poor Boy_Cliff Richard.mp4,176.96,2.9493333333333336
Creedence Clearwater Revival,Proud Mary,2026-11-01,L,Proud Mary_Creedence Clearwater Revival .mp4,184.46,3.0743333333333336
Jimi Hendrix Experience The,Purple Haze,2026-11-01,L,Purple Haze_Jimi Hendrix Experience The.mp4,172.46,2.8743333333333334
Imagine Dragons,Radioactive,2026-11-01,L,Radioactive_Imagine Dragons .mp4,185.63,3.0938333333333334
B. J. Thomas,Raindrops Keep Falling On My Head,2026-11-01,L,Raindrops Keep Falling On My Head_B. J. Thomas.mp4,180.13,3.0021666666666667
UB40,Red Red Wine,2026-11-01,L,Red Red Wine_UB40 .mp4,203.57999999999998,3.393
Marmalade The,Reflections of My Life,2026-11-01,L,Reflections of My Life_Marmalade The.mp4,242.79,4.0465
Aretha  Franklin,Respect,2026-11-01,L,Respect_Aretha  Franklin.mp4,150.21,2.5035000000000003
Richard Marx,Right Here Waiting,2026-11-01,L,Right Here Waiting_Richard Marx.mp4,262.79,4.379833333333334
Elton John,Rocket Man,2026-11-01,L,Rocket Man_Elton John.mp4,282.21,4.7035
Post Malone,rockstar,2026-11-01,L,rockstar_Post Malone.mp4,242.04,4.034
Adele,Rolling in the Deep,2026-11-01,L,Rolling in the Deep_Adele .mp4,234.0,3.9
Elton John,Sacrifice,2026-11-01,L,Sacrifice_Elton John.mp4,281.88,4.6979999999999995
Wiz Khalifa,See You Again,2026-11-01,L,See You Again_Wiz Khalifa.mp4,237.46,3.957666666666667
Taylor Swift,Shake It Off,2026-11-01,L,Shake It Off_Taylor Swift.mp4,258.13,4.3021666666666665
Lady Gaga,Shallow,2026-11-01,L,Shallow_Lady Gaga.mp4,216.25,3.6041666666666665
Ed Sheeran,Shape of You,2026-11-01,L,Shape of You_Ed Sheeran.mp4,263.33,4.388833333333333
Kelly Clarkson,Since U Been Gone,2026-11-01,L,Since U Been Gone_Kelly Clarkson.mp4,191.88,3.198
Nirvana,Smells Like Teen Spirit,2026-11-01,L,Smells Like Teen Spirit_Nirvana .mp4,308.25,5.1375
Deep Purple,Smoke on the Water,2026-11-01,L,Smoke on the Water_Deep Purple .mp4,342.08,5.701333333333333
Michael Jackson,Smooth Criminal,2026-11-01,L,Smooth Criminal_Michael Jackson.mp4,250.96,4.182666666666667
Sade,Smooth Operator,2026-11-01,L,Smooth Operator_Sade .mp4,258.04,4.300666666666667
Carole King,So Far Away,2026-11-01,L,So Far Away_Carole King.mp4,235.54,3.9256666666666664
Gotye,Somebody That I Used To Know,2026-11-01,L,Somebody That I Used To Know_Gotye .mp4,243.96,4.066
Adele,Someone Like You,2026-11-01,L,Someone Like You_Adele .mp4,285.04,4.750666666666667
Lewis Capaldi,Someone You Loved,2026-11-01,L,Someone You Loved_Lewis Capaldi.mp4,182.33,3.0388333333333337
Elton John,Something About the Way You Look Tonight,2026-11-01,L,Something About the Way You Look Tonight_Elton John.mp4,246.63,4.1105
Beatles The,Something,2026-11-01,L,Something_Beatles The.mp4,188.0,3.1333333333333333
Led Zeppelin,Stairway to Heaven,2026-11-01,L,Stairway to Heaven_Led Zeppelin .mp4,485.29,8.088166666666668
Eminem feat. Dido,Stan,2026-11-01,L,Stan_Eminem feat. Dido .mp4,488.75,8.145833333333334
Bee Gees,Stayin’ Alive,2026-11-01,L,Stayin’ Alive_Bee Gees .mp4,287.75,4.795833333333333
Gary Moore,Still Got The Blues,2026-11-01,L,Still Got The Blues_Gary Moore.mp4,249.17,4.152833333333333
Bryan Adams,Straight From The Heart,2026-11-01,L,Straight From The Heart_Bryan Adams.mp4,208.88,3.481333333333333
Beatles The,Strawberry Fields Forever,2026-11-01,L,Strawberry Fields Forever_Beatles The.mp4,250.63,4.1771666666666665
Ralph McTell,Streets of London,2026-11-01,L,Streets of London_Ralph McTell.mp4,244.0,4.066666666666666
Taylor Swift,Style,2026-11-01,L,Style_Taylor Swift.mp4,243.08,4.051333333333334
Shinji Tanimura,Subaru (JP),2026-11-01,L,Subaru (JP)_Shinji Tanimura.mp4,277.38,4.623
Kyu Sakamoto,Sukiyaki (JP),2026-11-01,L,Sukiyaki (JP)_Kyu Sakamoto.mp4,188.58,3.1430000000000002
Post Malone,Sunflower,2026-11-01,L,Sunflower_Post Malone.mp4,161.79,2.6965
Elvis Presley,Suspicious Minds,2026-11-01,L,Suspicious Minds_Elvis Presley.mp4,273.21,4.5535
Guns n’ Roses,Sweet Child O’Mine,2026-11-01,L,Sweet Child O’Mine_Guns n’ Roses .mp4,356.46,5.941
Eurythmics,Sweet Dreams (Are Made of This),2026-11-01,L,Sweet Dreams (Are Made of This)_Eurythmics .mp4,214.13,3.568833333333333
Rolling Stones The,Sympathy for the Devil,2026-11-01,L,Sympathy for the Devil_Rolling Stones The.mp4,528.88,8.814666666666666
Eagles The,Take It Easy,2026-11-01,L,Take It Easy_Eagles The.mp4,267.42,4.457
Hozier,Take Me To Church,2026-11-01,L,Take Me To Church_Hozier .mp4,256.5,4.275
Bob Dylan,Tangled Up in Blue,2026-11-01,L,Tangled Up in Blue_Bob Dylan.mp4,267.92,4.465333333333334
"Crosby, Stills, Nash and Young",Teach Your Children,2026-11-01,L,"Teach Your Children_Crosby, Stills, Nash and Young .mp4",174.17000000000002,2.9028333333333336
Eric Clapton,Tears in Heaven,2026-11-01,L,Tears in Heaven_Eric Clapton.mp4,271.83,4.5305
Eagles The,Tequila Sunrise,2026-11-01,L,Tequila Sunrise_Eagles The.mp4,173.17000000000002,2.886166666666667
Dido,Thank You,2026-11-01,L,Thank You_Dido .mp4,193.71,3.2285
Simon and Garfunkel,The Boxer,2026-11-01,L,The Boxer_Simon and Garfunkel .mp4,312.38,5.206333333333333
Taylor Swift,The Fate of Ophelia,2026-11-01,L,The Fate of Ophelia_Taylor Swift.mp4,226.13,3.7688333333333333
Jackson Browne,The Load Out Stay,2026-11-01,L,The Load Out Stay_Jackson Browne.mp4,561.25,9.354166666666666
Teresa Teng,The Moon Represents My Heart (CN),2026-11-01,L,The Moon Represents My Heart (CN)_Teresa Teng.mp4,203.13,3.3855
Alan Jackson,The Older I Get,2026-11-01,L,The Older I Get_Alan Jackson.mp4,236.71,3.9451666666666667
Celine Dion,The Power of Love,2026-11-01,L,The Power of Love_Celine Dion.mp4,287.67,4.7945
Simon and Garfunkel,The Sound of Silence,2026-11-01,L,The Sound of Silence_Simon and Garfunkel .mp4,239.0,3.9833333333333334
Bob Dylan,The Times They Are A-Changing,2026-11-01,L,The Times They Are A-Changing_Bob Dylan.mp4,196.63,3.2771666666666666
Cliff Richard,The Young Ones,2026-11-01,L,The Young Ones_Cliff Richard.mp4,193.75,3.2291666666666665
Ed Sheeran,Thinking Out Loud,2026-11-01,L,Thinking Out Loud_Ed Sheeran.mp4,277.75,4.629166666666666
Maroon 5,This Love,2026-11-01,L,This Love_Maroon 5 .mp4,205.38,3.423
Michael Jackson,Thriller,2026-11-01,L,Thriller_Michael Jackson.mp4,201.07999999999998,3.3513333333333333
Imagine Dragons,Thunder,2026-11-01,L,Thunder_Imagine Dragons .mp4,204.07999999999998,3.401333333333333
Teresa Teng,Tian Mi Mi (CN),2026-11-01,L,Tian Mi Mi (CN)_Teresa Teng.mp4,205.0,3.4166666666666665
Cyndi Lauper,Time After Time,2026-11-01,L,Time After Time_Cyndi Lauper.mp4,297.08,4.951333333333333
Zhao Lei,Time of Our LIves (CN),2026-11-01,L,Time of Our LIves (CN)_Zhao Lei.mp4,270.96,4.516
Culture Club,Time,2026-11-01,L,Time_Culture Club .mp4,219.25,3.654166666666667
Elton John,Tiny Dancer,2026-11-01,L,Tiny Dancer_Elton John.mp4,406.63,6.777166666666667
Bee Gees,To Love Somebody,2026-11-01,L,To Love Somebody_Bee Gees .mp4,182.21,3.0368333333333335
Bee Gees,Too Much Heaven,2026-11-01,L,Too Much Heaven_Bee Gees .mp4,299.25,4.9875
Bonnie Tyler,Total Eclipse of the Heart (Turn Around),2026-11-01,L,Total Eclipse of the Heart (Turn Around)_Bonnie Tyler.mp4,333.96,5.566
Bee Gees,Tragedy,2026-11-01,L,Tragedy_Bee Gees .mp4,303.5,5.058333333333334
Cyndi Lauper,True Colors,2026-11-01,L,True Colors_Cyndi Lauper.mp4,246.5,4.108333333333333
Toni Braxton,Un-Break My Heart,2026-11-01,L,Un-Break My Heart_Toni Braxton.mp4,273.17,4.552833333333334
Righteous Brothers The,Unchained Melody,2026-11-01,L,Unchained Melody_Righteous Brothers The.mp4,214.21,3.5701666666666667
Coldplay,Viva La Vida,2026-11-01,L,Viva La Vida_Coldplay .mp4,242.25,4.0375
Foreigner,Waiting for a Girl Like You,2026-11-01,L,Waiting for a Girl Like You_Foreigner .mp4,284.92,4.748666666666667
Avicii,Waiting For Love,2026-11-01,L,Waiting For Love_Avicii .mp4,230.25,3.8375
Avicii,Wake Me Up,2026-11-01,L,Wake Me Up_Avicii .mp4,272.42,4.540333333333334
Black Sabbath,War Pigs,2026-11-01,L,War Pigs_Black Sabbath .mp4,472.92,7.882000000000001
Carpenters,We've Only Just Begun,2026-11-01,L,We've Only Just Begun_Carpenters .mp4,186.46,3.107666666666667
Guns n’ Roses,Welcome to the Jungle,2026-11-01,L,Welcome to the Jungle_Guns n’ Roses .mp4,279.17,4.652833333333334
Louis Armstrong,What A Wonderful World,2026-11-01,L,What A Wonderful World_Louis Armstrong.mp4,138.79,2.3131666666666666
Marvin Gaye,What's Going On,2026-11-01,L,What's Going On_Marvin Gaye.mp4,231.71,3.8618333333333337
4 Non Blondes,What's Up,2026-11-01,L,What's Up_4 Non Blondes .mp4,292.63,4.877166666666667
Percy Sledge,When a Man Loves a Woman,2026-11-01,L,When a Man Loves a Woman_Percy Sledge.mp4,173.5,2.8916666666666666
Bruno Mars,When I Was Your Man,2026-11-01,L,When I Was Your Man_Bruno Mars.mp4,214.21,3.5701666666666667
Celine Dion,Where Does My Heart Beat Now,2026-11-01,L,Where Does My Heart Beat Now_Celine Dion.mp4,274.71,4.5785
Beatles The,While My Guitar Gently Weeps,2026-11-01,L,While My Guitar Gently Weeps_Beatles The.mp4,285.04,4.750666666666667
Dido,White Flag,2026-11-01,L,White Flag_Dido .mp4,221.25,3.6875
Procol Harum,Whiter Shade of Pale,2026-11-01,L,Whiter Shade of Pale_Procol Harum .mp4,351.0,5.85
Led Zeppelin,Whole Lotta Love,2026-11-01,L,Whole Lotta Love_Led Zeppelin .mp4,288.83,4.813833333333333
Creedence Clearwater Revival,Who’ll Stop the Rain,2026-11-01,L,Who’ll Stop the Rain_Creedence Clearwater Revival .mp4,144.04,2.4006666666666665
Glen Campbell,Wichita Lineman,2026-11-01,L,Wichita Lineman_Glen Campbell.mp4,184.58,3.0763333333333334
Rolling Stones The,Wild Horses,2026-11-01,L,Wild Horses_Rolling Stones The.mp4,340.5,5.675
Taylor Swift,Wildest Dreams,2026-11-01,L,Wildest Dreams_Taylor Swift.mp4,234.75,3.9125
Scorpions,Wind Of Change,2026-11-01,L,Wind Of Change_Scorpions .mp4,282.83,4.713833333333333
Incubus,Wish You Were Here,2026-11-01,L,Wish You Were Here_Incubus .mp4,212.96,3.5493333333333337
Pink Floyd,Wish You Were Here,2026-11-01,L,Wish You Were Here_Pink Floyd .mp4,275.5,4.591666666666667
Joe Cocker,With A Little Help From My Friends,2026-11-01,L,With A Little Help From My Friends_Joe Cocker.mp4,541.5,9.025
U2,With or Without You,2026-11-01,L,With or Without You_U2 .mp4,292.29,4.8715
Dana Winner,Woman in Love,2026-11-01,L,Woman in Love_Dana Winner.mp4,251.04,4.184
Eric Clapton,Wonderful Tonight,2026-11-01,L,Wonderful Tonight_Eric Clapton.mp4,371.04,6.184
"Crosby, Stills, Nash and Young",Woodstock,2026-11-01,L,"Woodstock_Crosby, Stills, Nash and Young .mp4",232.5,3.875
Bee Gees,Words,2026-11-01,L,Words_Bee Gees .mp4,205.07999999999998,3.4179999999999997
Coldplay,Yellow,2026-11-01,L,Yellow_Coldplay .mp4,272.33,4.538833333333333
Beatles The,Yesterday,2026-11-01,L,Yesterday_Beatles The.mp4,127.5,2.125
Michael Jackson,You Are Not Alone,2026-11-01,L,You Are Not Alone_Michael Jackson.mp4,335.92,5.598666666666667
Taylor Swift,You Belong With Me,2026-11-01,L,You Belong With Me_Taylor Swift.mp4,228.57999999999998,3.8096666666666663
Rolling Stones The,You Can’t Always Get What You Want,2026-11-01,L,You Can’t Always Get What You Want_Rolling Stones The.mp4,268.54,4.475666666666667
Bee Gees,You Should Be Dancing,2026-11-01,L,You Should Be Dancing_Bee Gees .mp4,262.33,4.372166666666667
James Blunt,You're Beautiful,2026-11-01,L,You're Beautiful_James Blunt.mp4,202.25,3.370833333333333
Carole King,You've got a friend,2026-11-01,L,You've got a friend_Carole King.mp4,296.13,4.9355
Hank Williams,Your Cheatin' Heart,2026-11-01,L,Your Cheatin' Heart_Hank Williams.mp4,162.82999999999998,2.713833333333333
Josh Turner,Your Man,2026-11-01,L,Your Man_Josh Turner.mp4,210.0,3.5
Elton John,Your Song,2026-11-01,L,Your Song_Elton John.mp4,228.42000000000002,3.8070000000000004
Shania Twain,You’re Still The One,2026-11-01,L,You’re Still The One_Shania Twain.mp4,200.29,3.3381666666666665
Cranberries The,Zombie,2026-11-01,L,Zombie_Cranberries The.mp4,307.25,5.120833333333334
หญิงลี ศรีจุมพล,ขอใจเธอแลกเบอร์โทร (TH),2026-11-01,L,ขอใจเธอแลกเบอร์โทร (TH)_หญิงลี ศรีจุมพล.mp4,276.0,4.6
สุเทพ วงศ์กำแหง,คนจะรักกัน (TH),2026-11-01,L,คนจะรักกัน (TH)_สุเทพ วงศ์กำแหง.mp4,226.0,3.7666666666666666
Getsunova,ความเงียบดังที่สุด (TH),2026-11-01,L,ความเงียบดังที่สุด (TH)_Getsunova .mp4,350.33,5.838833333333333
เสก โลโซ,คืนจันทร์ (TH),2026-11-01,L,คืนจันทร์ (TH)_เสก โลโซ.mp4,285.92,4.765333333333333
หงา คาราวาน,คืนรัง (TH),2026-11-01,L,คืนรัง (TH)_หงา คาราวาน.mp4,244.0,4.066666666666666
เสก โลโซ,ซมซาน (TH),2026-11-01,L,ซมซาน (TH)_เสก โลโซ.mp4,314.33,5.238833333333333
หงา คาราวาน,ดอกไม้ให้คุณ (TH),2026-11-01,L,ดอกไม้ให้คุณ (TH)_หงา คาราวาน.mp4,194.13,3.2355
ปู่จ๋านลองไมค์,ตราบธุลีดิน (TH),2026-11-01,L,ตราบธุลีดิน (TH)_ปู่จ๋านลองไมค์ .mp4,240.5,4.008333333333334
ไข่มุก เพ็ญสินี,ถ้าหัวใจมีปีก (TH),2026-11-01,L,ถ้าหัวใจมีปีก (TH)_ไข่มุก เพ็ญสินี.mp4,223.25,3.720833333333333
หงา คาราวาน,ยิ้มกลางสายฝน (TH),2026-11-01,L,ยิ้มกลางสายฝน (TH)_หงา คาราวาน.mp4,238.17000000000002,3.9695000000000005
ใหม่  เจริญปุระ,รวมเพลง ใหม่ เจริญปุระ (TH),2026-11-01,L,รวมเพลง ใหม่ เจริญปุระ (TH)_ใหม่  เจริญปุระ.mp4,18.42,0.30700000000000005
ธนพล อินทฤทธิ์,รักคงยังไม่พอ (TH),2026-11-01,L,รักคงยังไม่พอ (TH)_ธนพล อินทฤทธิ์.mp4,281.75,4.695833333333334
ธงไชย แมคอินไตย์,รักเอ๋ย (TH),2026-11-01,L,รักเอ๋ย (TH)_ธงไชย แมคอินไตย์.mp4,301.46,5.024333333333333
คาราบาว,ลุงขี้เมา (TH),2026-11-01,L,ลุงขี้เมา (TH)_คาราบาว .mp4,371.25,6.1875
สุรพล สมบัติเจริญ,สวยจริงๆ (TH),2026-11-01,L,สวยจริงๆ (TH)_สุรพล สมบัติเจริญ.mp4,279.79,4.663166666666667
พงษ์สิทธิ์ คำภีร์,อยู่ตรงนี้ (TH),2026-11-01,L,อยู่ตรงนี้ (TH)_พงษ์สิทธิ์ คำภีร์.mp4,354.83,5.913833333333333
พงษ์สิทธิ์ คำภีร์,เสมอ (TH),2026-11-01,L,เสมอ (TH)_พงษ์สิทธิ์ คำภีร์.mp4,371.21,6.186833333333333
พงษ์สิทธิ์ คำภีร์,แค่นั้น (TH),2026-11-01,L,แค่นั้น (TH)_พงษ์สิทธิ์ คำภีร์.mp4,317.0,5.283333333333333
ไข่ มาลีฮวนน่า,แสงจันทร์ (TH),2026-11-01,L,แสงจันทร์ (TH)_ไข่ มาลีฮวนน่า.mp4,327.08,5.451333333333333
เพ็ญศรี พุ่มชูศรี,แสงดาวแห่งศรัทธา (TH),2026-11-01,L,แสงดาวแห่งศรัทธา (TH)_เพ็ญศรี พุ่มชูศรี.mp4,242.58,4.043
bodyslam,แสงสุดท้าย (TH),2026-11-01,L,แสงสุดท้าย (TH)_bodyslam .mp4,283.79,4.729833333333334
เสก โลโซ,ใจสั่งมา (TH),2026-11-01,L,ใจสั่งมา (TH)_เสก โลโซ.mp4,259.96,4.332666666666666
